Слово,Количество
2023,4225
2022,930
размерный,1324
новый,6066
единый,2192
штучный,1007
великий,1331
живой,1563
российский,1618
отечественной,666
хороший,5345
размер,1213
первый,2901
разный,1509
цена,940
1280,594
1600,561
самые,637
шикарный,1174
1920,571
1040,530
большой,1187
дорогой,1049
фабричный,1436
1300,465
калмыцкий,2126
1150,448
1760,448
2400,484
актуальный,802
вживую,374
важный,1599
социальный,1247
2080,486
1200,365
1450,435
внутренний,810
женский,1919
отличный,1289
1440,337
военный,665
1360,348
крепкий,439
главный,1608
второй,752
2240,330
самым,321
дополнительный,657
народный,1147
рад,520
государственный,1183
различный,665
удобный,1097
региональный,832
центральный,468
чёрный,1166
1650,286
2021,252
национальный,1102
"42,44,46,48,50,52",251
нужный,899
1500,249
достаточный,338
уголовный,565
приятный,780
люксовое,308
местный,753
белый,967
родной,270
готовый,599
детский,1338
спортивный,916
высокий,1509
1800,218
васильевна,216
красивый,1350
целинный,254
1100,214
добрый,1513
общественный,925
мужской,993
приютненский,253
ежедневный,279
свободный,827
2560,223
денежный,501
максимальный,316
равный,254
лёгкий,1264
больший,1146
болҗ,249
стильный,613
1520,196
специальный,508
яшкульский,266
2000,202
востребованные,185
последний,863
2020,181
республиканский,453
прошлый,396
2750,203
электронный,426
международный,802
личный,926
городской,395
тёплый,957
люксовые,189
гальванический,169
общий,643
родный,338
профессиональный,700
"44,46,48,50,52,54",163
федеральный,652
высоко,215
медицинский,818
близкий,566
редкий,204
огромный,588
8906 437,158
42/44/46/48/50,156
молодой,605
бежевый,296
средний,486
интересный,1061
доставка,147
русский,647
яркий,710
активный,585
полный,761
образовательный,299
очередной,312
турецкий,521
42.44.46.48,156
2019,142
здоровый,437
кетченеровский,141
1942,140
следующий,641
всероссийский,621
шаговый,138
доступный,366
сегодняшний,200
яшалтинский,200
физический,444
сарпинский,167
способный,428
"50,52,54,56,58,60",135
трудный,325
старший,573
невозможный,194
"50,52,54,56,58",133
боевой,364
2pac,181
2880,155
красный,605
новинка,130
черноземельский,152
дорожный,204
верхний,326
другого,149
950руб,145
сезон,150
любимый,885
мягкий,657
мировой,277
бесплатный,452
элистинского,135
основный,654
широкий,409
творческий,587
трендовые,150
2990,138
юный,310
милый,473
42/44/46/48,120
иностранный,279
идеальный,810
мелкий,243
муниципальный,304
собственный,553
целый,274
2015,115
научный,396
2024,114
советский,526
1943,109
2014,109
современный,704
күүнә,132
районный,310
прямой,384
основной,149
долгий,266
1950,125
прекрасный,848
ростовский,130
астраханский,161
сложный,488
известный,604
будущий,319
повседневный,216
октябрьский,117
жизненный,365
2018,99
административный,310
искренний,210
1350,195
летний,471
сельский,207
базовый,344
голубой,207
транспортный,329
небольшой,335
необходимый,511
1941,94
торжественный,276
особый,423
плохой,327
тонкий,295
семейный,264
1945,92
всемирный,143
натуральный,422
полезный,524
3-х,103
адрес,91
1400,176
крутой,394
текущий,180
бомбические,111
оплата,89
1944,88
нежный,720
косметический,113
наркотический,103
комфортный,474
18:00,86
дальнейший,265
счастливый,650
йовна,102
предварительный,170
трудовой,195
уникальный,307
лаганский,120
2017,85
синий,189
самыми,84
другую,84
иной,84
изумительный,164
1750,115
элегантный,256
2-х,96
рабочий,257
ики бурульский,83
мобилизованных,107
12:00,93
финансовый,349
серый,179
малодербетовский,100
подробный,153
годовой,167
1550,115
элистинский,80
пожарный,80
популярный,215
городовиковский,102
домашний,372
премиальный,80
льна,79
железный,118
культурный,227
тяжёлый,316
воинский,231
джинсовый,171
постоянный,304
знакомый,112
правоохранительный,93
классный,335
джинсы,77
температурный,77
элистинской,76
модный,414
95%хлопок,76
внешний,286
сильный,559
степной,181
1250,109
третий,348
мирный,256
похожий,158
качественный,343
настоящий,334
исторический,334
молочный,199
счёт,71
старый,354
экономический,230
900руб,71
10шт,84
персональный,115
природный,188
замечательный,124
зелёный,179
воздушный,215
крупный,320
весёлый,156
простой,368
"2023,eminem",69
