Слово,Количество
цена,20228
размер,31843
калмыкии,5982
ткань,9001
день,9571
арт,2942
время,4703
год,11564
качество,7867
длина,4079
рубль,3068
хлопок,3067
руб,2002
материал,2778
жизнь,5237
костюм,4521
участие,2127
калмыкия,2183
платье,5153
наличие,1612
место,3374
май,1582
элиста,2723
март,1438
раз,1627
работа,4075
апрель,1403
ребёнок,3981
февраль,1288
территория,1436
см.,1023
фото,2459
человек,8183
люкс,1985
двойка,2087
весна,2943
январь,1140
им.,900
заказ,2992
район,2857
сетка,1101
рост,1745
рамка,846
уровень,2027
сезон,2119
возможность,1474
пара,1181
новинка,2955
ул.,788
тысяча,1104
товар,2182
очко,759
цвет,3469
полиция,1103
двухнитка,932
кожа,2473
трикотаж,1034
республика,1755
ход,837
час,1804
помощь,2212
рождение,1238
маломер,820
июнь,855
мир,3096
праздник,2461
число,1053
дом,1789
ряд,1084
город,1579
вопрос,2542
период,866
часть,1460
игра,2391
внимание,1462
образ,1591
лето,1296
развитие,1578
спасибо,938
джинсы,1164
количество,926
прадо,560
проект,1758
гражданин,1605
выбор,1475
коробка,903
акция,1483
слово,2064
имени,547
здоровье,1721
культура,1186
область,1048
школа,2056
житель,2100
связь,873
участник,1506
дело,2793
средство,1742
доставка,1042
друг,2480
образование,1003
память,1148
состояние,1075
адрес,1506
гиҗ,578
случай,1170
футболка,1530
сайт,732
война,1685
результат,1529
выдача,698
месяц,1328
конкурс,1247
страна,2212
история,1265
течение,518
модель,2181
прада,691
лицо,1514
телефон,1369
маломерок,460
бат,443
группа,1320
глава,1347
служба,943
мероприятие,1711
комплект,1175
душа,1542
штука,453
элисты,694
коллекция,1471
минута,887
любовь,1936
состав,1575
брюки,855
весенняя,397
видео,798
организация,1091
партия,955
сердце,1140
многих,385
орган,912
вид,1337
штаны,730
защита,810
фотография,680
отделение,775
компания,926
сторона,1309
млн,443
шорты,680
получили,370
счастие,1186
настроение,793
право,1169
решение,1271
момент,869
управление,1083
кроссовки,802
поддержка,1315
система,1237
проведение,638
информация,1476
оплата,609
приложение,518
сотрудник,1405
промокод,365
сфера,650
программа,1427
оформление,704
анастасия,372
путь,1074
столица,525
пар,376
форма,1112
проблема,1104
калмыцкой,323
турнир,752
деятельность,816
чигн,395
днём,596
срок,710
получение,515
неделя,999
подарок,820
отношение,1279
посадка,748
сила,1782
куртка,1077
семья,1756
ст.,304
номер,706
встреча,1042
деньга,771
просмотр,441
набор,682
список,450
девочка,853
рубашка,909
бонус,587
тюльпан,552
запись,864
эко,521
улица,772
нег,314
действие,1083
центр,1159
безопасность,544
сош,309
сво,449
кнакиса,298
расцветка,333
мужчина,1219
женщина,1342
регион,1319
софт,426
основа,584
штапель,435
шифон,305
реализация,397
спорт,563
власть,571
упаковка,719
вклад,258
конец,718
движение,727
имя,608
хойр,310
распродажа,526
книга,899
кетченеры,254
стиль,806
население,485
күн,317
статья,530
борьба,567
честь,321
вариант,473
факт,588
грудь,369
скидка,690
китай,246
дню,354
успех,759
представитель,742
консультация,331
производство,670
энергия,982
желание,670
театр,575
база,448
благодарность,479
руководитель,697
радость,729
песня,695
опыт,700
производитель,473
знание,674
ответ,661
изделие,501
доп,245
курс,699
язык,1093
сеть,497
соответствие,267
сбор,777
отдел,412
тело,1461
порядок,609
команда,996
ребята,465
весна лето,298
село,544
рассрочка,333
хурала,272
гость,762
тер,222
поступление,554
народ,1138
счёт,530
квартира,655
ткань-,219
дорога,886
этап,522
оверсайз,408
тройка,471
флисе,265
мысль,680
прошлом,234
добавление,334
рекорд,251
глаз,773
осень,477
единый,211
люкс фабричный,211
труд,703
мебель,546
работник,742
фестиваль,759
рука,1032
итог,646
правительство,462
цель,1123
джынсы,207
концерт,468
минь,286
покупка,520
покрытие,253
класс,720
стена,503
тема,680
условие,954
процесс,646
процедура,596
благополучие,555
вода,915
вечер,741
размеры,357
наполнитель,231
александрович,220
страница,448
личном,210
молодёжь,352
исполнение,414
чувство,646
поле,422
студент,698
роль,340
новом,207
ответственность,493
ресурс,378
эко кожа,243
ребят,245
занятие,548
рынок,367
мама,585
преддверие,188
ссылка,532
новинки,207
магазин,780
обучение,533
искусство,421
приём,507
депутат,651
уга,184
размерность,205
достижение,508
операция,473
степень,279
университет,410
защитник,398
голосование,506
будущее,561
будды,212
заместитель,342
этаж,438
звоните,179
ставка,307
множество,245
свет,734
составление,206
протяжение,176
выгода,226
возраст,599
остановка,252
администрация,496
калмыцком,224
элисту,248
чародеи,174
онлайн,208
использование,513
кв.м,171
спинка,248
комплекс,420
очередь,334
кровь,499
взнос,188
кофта,282
жилетка,310
даёт,169
заказов:8922 458,169
услуга,605
ремонт,464
луна,178
огонь,489
текущее,167
ветеран,658
первом,166
цветок,361
традиция,453
зависимость,181
сумка,378
библиотека,498
серия,302
строительство,443
красота,613
пост,388
организм,612
сталинградский,163
бог,666
утро,819
пиджак,467
кандидат,405
президент,596
мана,160
категория,288
масло,376
род,321
хозяйство,264
войско,324
хуншань,158
◾️цена,158
подготовка,466
мес,167
ситуация,815
соревнование,522
боль,509
зал,377
заём,277
переплат,156
задача,753
бас,155
значение,328
учёт,331
тяжелом,155
верх,269
создание,421
сообщение,563
ночь,561
диван,333
гиһәд,262
мкоу,153
майка,173
фонд,381
удовольствие,330
общение,464
подкладка,443
дозаказы,152
хит,365
подруга,264
деер,150
резинка,282
флис,203
творчество,517
событие,719
смо,184
отдых,388
название,349
выручай,149
колодка,160
двунитка,245
кроя,147
объект,600
мера,566
миллион,316
бәәсн,161
пандемия,146
наука,475
директор,375
эффект,385
школьник,423
стол,306
заявление,372
подкладе,177
стоимость,313
родитель,637
поздравление,262
площадь,408
земляк,440
туризм,200
способ,361
молния,277
нивл,143
волос,427
дизайн,302
водитель,365
доступность,202
сәәхн,153
гостиница,179
куртки,170
прошёл,141
подписчик,164
посёлок,172
блузка,476
закон,684
план,767
руководство,257
бәәнә,189
основание,236
telegram,139
кофточки,139
практика,450
военный,291
процент,230
эмоция,477
взгляд,464
правило,517
юбка,526
расцветках,166
платья,137
каробке,137
точка,286
хальмг,252
чай,342
декабрь,213
министр,415
победа,739
обувь,389
эластан,237
заявка,377
изменение,378
близким,214
сожаление,173
ждёт,135
суд,426
открытие,418
вещь,622
карта,561
площадка,448
ширина,133
лечение,293
герой,567
бичә,168
автомашина,278
направление,641
пояс,248
обслуживание,210
армия,393
дата,405
стих,270
шаг,380
документ,644
зрение,193
формат,283
линия,350
полном,129
польза,270
продукция,332
коллектив,433
лета,142
подробность,220
продаётся,129
гимназия,225
член,536
режим,507
медаль,395
учащихся,143
победитель,466
губа,181
совет,346
калмгу,168
идёт,127
1150руб,189
батал,204
нитка,199
данным,148
символ,245
мбоу,125
офис,298
поселка,125
болн,125
удача,414
звание,196
причина,560
сегодня,137
долг,469
занятость,167
сознание,339
продажа,366
век,389
зона,363
животное,463
вещество,455
️размер,147
эрдни,121
голос,274
обеспечение,306
земля,778
футболки,121
ансамбль,246
пример,409
сентябрь,212
сцена,179
поколение,452
фабрика,198
комитет,196
запах,165
председатель,489
повтор,309
выплата,261
природа,537
здравоохранение,203
празднование,189
повышение,329
заседание,288
речь,296
билә,177
сән,138
применение,369
сын,393
окно,438
подвиг,272
будда,132
опция,218
спандекс,163
талия,220
принятие,189
сад,334
отец,420
смерть,312
питание,430
идея,498
общество,454
окончание,224
сумма,389
исследование,317
мясо,228
одежда,735
ремень,259
ребятам,141
канал,279
новость,303
большинство,270
көвүн,141
маркировка,152
принтом,128
смысл,323
мечта,310
влияние,226
продукт,572
кровать,304
подклад,183
добра,271
свобода,322
девушка,531
голова,585
госавтоинспекции,125
брюк,111
силуэт,174
выходных,111
солнце,351
степь,316
колесо,146
русском,110
номеру,110
шёлк,110
конференция,197
педагог,400
премия,178
способность,333
зима,424
каб,109
сессия,185
коллега,456
фильм,328
заказов,108
музей,356
нога,499
хранение,177
отчёты,107
рабочий,291
целом,144
специалист,533
солдат,223
доступ,155
ученик,416
сохранение,239
трус,135
тренд,221
кукла,119
дальнейшем,118
фортуны,105
комиссия,223
поэт,325
паспорт,177
брат,331
выход,229
умение,182
интерес,426
микрорайон,183
государство,351
1250руб,104
рублей,104
бомблю,104
начёс,134
текст,260
пространство,373
доверие,180
график,141
шанс,186
стрейч,180
садовый,103
шт-,103
зритель,280
предприниматель,281
поклонник,102
выходной,150
техника,355
обращение,326
гисн,119
болхла,141
авч,102
пятно,134
отечество,230
ощущение,229
профилактика,249
youtube,115
текстиль,102
почтение,102
учреждение,517
рекомендация,131
мать,324
пора,155
родных,163
знак,296
миди,116
уважение,376
июль,133
сочетание,155
выставка,335
свойство,206
макияж,247
экономика,203
пресс служба,185
объявление,141
пальто,198
учитель,536
отсутствие,251
близкими,137
двор,328
охрана,217
капюшоном,98
сведение,247
завершение,226
ноябрь,127
проверка,289
хәрү,97
гвардия,130
живот,143
клёш,147
⋆п⋆о⋆л⋆у⋆ч⋆и⋆л⋆и⋆ ⋆х⋆и⋆т⋆,112
повод,180
россиянин,192
юноша,136
болезнь,368
небо,332
сестра,258
просьба,225
супер,111
горошек,118
реклама,181
‼️новинка,96
кошка,194
справедливая,96
танца,95
восстановление,262
начало,231
идут,95
мнение,318
ксюша,95
подача,122
взаимодействие,217
контроль,324
окружающих,192
калмык,217
оборона,190
ода,146
участок,395
мозг,288
навык,201
дух,433
несовершеннолетних,133
зайди,93
креп,122
разрез,204
капюшон,172
босоножка,258
велюр,128
принимать,93
инфраструктура,250
родина,566
добро,238
комфорт,263
начальник,254
стирка,103
1700руб,92
футболочки,92
совершение,222
подход,153
родные,136
воскресение,147
тип,248
корпус,217
принт,127
дорҗ,91
үнн,91
застёжка,91
урок,300
орден,208
врач,434
активность,254
заболевание,434
боец,258
очир,90
столкновение,157
топ,204
оказание,180
капучино,149
бренд,189
суббота,186
клуб,256
статус,159
судьба,360
запрос,213
крем,131
трансляция,137
воспитание,219
мальчик,289
риск,189
рукав,305
карман,399
мастер,307
номинация,120
секретарь,164
детство,308
объём,325
церемония,184
формирование,213
втором,87
плеч,87
крой,123
янв,87
регистрация,295
получи,126
оружие,285
подразделение,181
ольга,101
помоги,99
километр,118
полиэстер,134
городовиковск,114
инициатива,215
гармония,139
олн,119
аромат,221
обязанность,182
происшествие,176
продаж,85
фев,85
уверенность,178
минимум,118
федеральном,84
кафе,140
писатель,271
нарушение,343
положение,276
среда,392
сообщество,304
р-н,140
дтп,113
астмаркет,138
стронг,96
произведение,216
пол,303
уход,289
банк,241
кро,83
носок,156
правду,83
гранд,97
профессия,285
труба,175
частность,114
нёбо,82
бровей,97
круг,214
пункт,375
стрельба,148
растение,322
ребёнка,126
карго,99
источник,319
бизнес,427
путешествие,186
болад,146
одв,81
ирсн,102
новые,81
картинка,133
весну,114
расцветочку,81
качества,100
россия,81
общем,132
жильё,182
муж,339
предок,224
прекрасной,80
полицейский,308
автор,381
проживание,194
море,234
жилет,135
цена.1500,80
судимость,80
слива,80
привет,239
предложение,257
предварительном,79
русских,79
прохождение,170
должность,170
хар,79
юмн,91
ассортимент,110
ул. ленин,79
брючки,106
здание,215
вред,181
суть,110
перевод,318
вероятность,89
вкус,220
портал,239
эврәннь,89
наказание,165
благоустройство,197
тепло,222
фронт,384
снег,250
дочь,209
вера,250
половина,262
суток,127
отличие,149
атмосфера,188
предел,199
пижама,190
инстаграм,102
содержание,218
сми,135
кафедры,76
литература,213
установка,191
автомобиль,315
плащевка,76
весенние,169
замена,170
розыска,75
гипюр,132
палаццо,90
выступление,217
просвещение,84
понимание,199
сон,386
дверь,249
институт,174
гг.,97
личность,218
законодательство,177
инструмент,242
официальном,73
сутки,109
выполнение,189
спортсмен,245
освобождение,161
технология,276
воспитанник,147
букет,131
пенсионер,107
завтра,73
женская,73
трехнитка,100
️Люксовое,88
️ЦЕНА,91
️Реально,73
артист,242
политик,106
реабилитация,87
чвк,72
письмо,199
художник,179
октябрь,123
государственном,72
изгиб,72
кухня,358
люксовое,72
Реально,72
маломерка,161
поручение,107
беседа,113
требование,199
сотня,111
старт,143
поведение,159
обмен,129
родным,86
масса,168
сообщу,85
спектакль,208
бюджет,142
ветер,206
грамм,70
градус,98
учащиеся,96
күүкн,102
бийнь,138
близнецы,70
весы,70
расцветок,70
стрейча,70
санал,69
еды,220
детском,69
недвижимость,125
оттенок,207
преступление,304
филиалов,69
колледж,175
республиканской,92
парк,241
кермен,68
укрепление,197
интервью,68
русские,82
бодрость,68
малина,106
клетка,198
фигура,297
характер,228
музыка,336
соглашение,111
улан,68
һазр,68
мөрн,94
улс,68
мастер класс,194
форум,211
фракция,68
интерьер,130
вырез,86
животинка,163
оборудование,226
прямом,67
кофе,97
реальность,255
комментарий,266
полынь,67
передача,135
механизм,149
ремешок,114
фуксия,162
бомба,145
𝐜𝐨𝐥𝐥𝐞𝐜𝐭𝐢𝐨𝐧,67
стоп,103
кочет,67
газета,135
мкр,118
рождения,66
посл,66
раки,66
девы,66
энергообмен,66
фон,65
памятник,163
пища,197
десяток,121
разговор,203
приз,177
заботы,65
тиим,92
лейтенант,93
львы,65
пыль,98
рублей,65
ощупь,65
стильные,65
граница,227
пребывание,81
мини,64
станция,114
совещание,155
дань,64
лама,114
версия,132
мет,91
поток,147
дар,118
разрешение,117
жительница,197
женственность,119
880рублей,64
штук,112
сравнение,76
трудность,155
воздух,299
факультет,78
край,351
тельцы,63
скорпионы,63
козероги,63
водолеи,63
предоставление,141
инвалид,212
сборка,63
двоечки,63
️Размер,114
фонда,62
представление,124
ограничение,123
собрание,188
яшкуль,62
обстоятельство,196
директ,85
новиночки,62
получить,106
гардероб,151
стелька,87
бытие,193
усилие,222
сложность,88
подросток,113
гора,220
бой,333
пакет,88
август,90
клиент,308
снижение,170
функция,198
военнослужащий,194
бидн,75
спецоперация,86
награда,150
овны,61
стрельцы,61
травма,190
потеря,194
первенство,212
полотенце,100
перерыв,113
airelista,61
️2023,61
успевай,78
бронь,116
поездка,213
весенний,60
үрс,60
выпускник,167
стремление,88
деталь,94
возникновение,60
близких,60
берег,96
предмет,302
эксплуатация,87
йовх,60
болна,92
годовщина,119
позиция,198
имущество,134
синтепон,86
пассажир,119
сварка,60
приобретение,151
субъект,103
максимум,59
законопроект,93
доктор,130
дружба,205
сар,59
кредит,165
тыс,59
улучшение,179
метр,158
противник,132
министерство,153
попытка,165
гардероба,107
хлопка,59
справка,194
удобство,85
кцсон,59
вискоза,95
худи,59
подозреваемый,69
электрик,119
королева,59
заказу,59
открыток,58
парламент,96
кабинет,156
баланс,75
поклон,71
среднее,58
необходимость,72
воздействие,179
комната,335
появление,165
амур санан,77
эфир,150
битва,285
прокуратура,172
пао,58
юбочка,75
2023,90
52/54/56/58/60/62,58
герань,140
билет,175
папа,135
ошибка,173
звонок,151
плитка,57
мудрость,176
учение,158
савр,57
артистка,80
планета,246
изображение,123
возрастной,57
роза,180
йовсн,57
өмн,57
учёный,233
жертва,139
потолок,68
отделка,57
информацию,57
клеш,57
46/48/50/52/54/56,57
раджа,57
валерия,56
задание,196
кевтә,56
личка,90
особенность,147
потенциал,121
электронном,68
разум,109
наряд,98
показатель,138
зөвәр,56
керг,56
жена,207
исключение,125
распространение,97
волонтёр,184
архиепископ,83
рисунок,181
цвета,56
бумажном,56
адресу,56
матрас,69
библиотекарь,95
округ,228
мужество,210
подношение,119
последствие,167
поверхность,95
дед,168
машина,300
отрасль,97
рассказ,152
забота,215
национальном,73
бичкн,55
собака,225
родственник,221
отряд,174
полка,84
ведомство,149
всероссийском,78
целинном,55
палата,86
офисе,55
товаров,55
пришли,55
флиса,55
экокожа,55
сплав,55
живёт,54
пособие,138
организатор,244
сотрудничество,171
шин,69
река,142
поддержание,97
өгсн,54
зөв,54
пожелание,99
назначение,139
транспорт,148
аппарат,90
женя,54
баина,54
десерт,54
принесёт,53
выпуск,118
процветание,120
наставник,152
давление,175
взрослый,130
посещение,140
лагерь,136
употребление,118
компонент,170
недостаток,110
опасность,120
эврән,68
һазрт,53
тур,98
хорошем,53
газ,147
мошенник,208
прогулка,198
дерево,350
️ПОЛУЧИЛИ,53
морщина,93
собственность,86
хурал,52
мобилизация,76
слава,262
целое,52
авсн,52
молитва,92
метод,179
нанд,52
менд,63
вес,234
кислота,151
большом,52
страх,223
турист,132
коап,52
согласие,123
лера,52
бедро,89
канализация,52
уполномоченного,77
тополь,89
крассовки,52
луковица,94
перечень,62
воин,163
лидер,246
гибель,61
поэзия,139
трудоустройство,103
элемент,223
температура,122
студия,95
штраф,116
100-летию,51
күртл,51
келсн,51
призёр,138
лишение,98
наркотик,94
мошенничество,118
банковской,51
сингапур,51
штучно:1150,51
модная,51
фин.куратор,51
правда,139
чемпионат,141
готовность,98
ресница,70
звезда,173
авария,50
бокс,87
противном,50
пятница,102
отказ,79
тяжесть,128
признак,151
молоко,115
марафон,162
очки,92
местность,84
контент,50
спина,148
зуг,50
тамара,50
письменность,50
салон,135
разм,50
бок,62
руки,50
водопровод,60
чтo,67
подкладом,50
размеров,50
кис,90
шеремет,50
избиратель,157
несёт,49
юбилей,140
жюри,61
гордость,119
ждём,49
мяса,63
пользователь,157
мире,49
сказка,132
воспоминание,128
дополнение,81
орҗ,49
ирв,49
храм,157
баатра,49
халат,49
удаление,93
визит,84
достоинство,129
деятель,138
формула,112
белья,49
маска,126
клип,49
шерсть,88
счётчик,49
️цена,132
подошва,68
узи,49
розыгрыш,90
изучение,174
земель,48
проявление,135
талант,174
дождь,109
практик,59
чудо,245
интернет,223
бабушка,184
поиск,234
ущерб,76
кадр,100
пациент,158
свежем,48
академия,102
йовҗ,72
ирҗ,48
гихлә,71
мех,85
плата,131
классик,91
удар,134
сарафан,110
помещение,255
ножка,62
пирамиде,48
пво,48
сайдингом,48
унитаз,48
раковин,48
смесителей,48
свеча,139
маломерности,91
живые,48
следующем,47
договор,126
парень,187
оценка,140
профиль,116
дядя,77
едином,68
святейшество,76
высоком,47
любитель,100
тон,113
очищение,143
поклонница,47
привлечение,111
миграция,47
платформа,135
өдр,47
след,130
шар,121
оригинал,47
улус,47
районном,47
филиал,108
сдача,81
ликвидация,47
энергетика,72
указ,147
списание,47
банкротство,47
алкоголь,117
автодорога,89
яшкульском,47
заповедник,106
рубчик,57
б-2в-19,47
штучно:1200,47
жанра,109
шнурок,47
премиум,76
цена.1600,47
животинкам,47
знакомство,121
дне,46
проезд,46
обновление,72
волейбол,61
структура,180
потребление,108
лайк,114
заключение,119
нетерпение,46
массива,46
цагт,62
захоронение,46
хуруле,57
санузел,117
саженец,46
доход,177
выгодные,46
2-нитка,46
50/52/54/56/58/60,46
шортами,46
ценность,236
причём,45
авто,59
миг,61
сокровище,76
рот,57
скорость,86
дедушка,89
торговля,55
союз,122
понятие,84
буддизм,133
увеличение,142
наступление,101
заряд,45
впечатление,193
черноземельском,45
значимость,63
космос,121
бийән,45
яһҗ,45
цаг,57
опьянение,119
80-летию,45
косметика,113
самбо,45
дней,60
изготовление,102
эпос,83
антинаркотической,45
бенгалин,45
орг,55
размер.40.42.44.46.48.50,45
плед,45
звонить,45
гарантия,144
instagram,62
сборная,84
содействие,99
опалов,44
соблюдение,117
надежда,230
самоуправление,101
лекция,162
центральном,61
орех,44
витамин,238
преподаватель,136
больница,204
эврә,44
мастерство,56
цветочек,44
россии,44
лёгкость,126
состязание,119
кресло,83
принтами,44
влага,72
декольте,44
замок,79
инфа,44
калина,73
матраса,44
цикл,59
путём,43
финал,76
презентация,103
квалификация,43
потребность,103
ужин,43
середина,65
еда,213
луны,43
почта,102
направленность,43
читатель,106
канун,43
һал,43
төлә,58
нер,43
ведение,57
отражение,43
активист,143
серьга,91
уловка,43
пошива,43
выбытия,43
выдачи,43
мом,43
отчёт,165
кустарник,43
бамбук,81
‼‼‼актуальные,43
салоне‼‼‼,43
комплексной,42
цуг,61
татьяна,42
геше,67
концентрация,83
стадия,52
контракт,159
анализ,63
человечество,156
иванович,69
тускар,42
усн,52
деерән,54
существование,102
обзор,77
телеграмма,42
печень,81
мусор,121
конфликт,188
возврат,70
семинар,108
минус,42
санкция,70
важность,83
фсб,42
колония,42
убийство,94
кардиган,97
бальзам,110
бот,42
кеды,82
трусы,42
вау,42
молодежная,42
груша,42
вишня,42
черешня,42
финансирование,55
раздел,101
принцип,219
разу,41
тренер,116
блокада,41
улыбка,208
поезд,41
камень,71
враг,233
код,61
хор,97
преданность,56
партнёр,159
кино,98
сахар,58
республиканском,55
күүнд,41
иим,41
овец,41
эмгн,58
гер,41
өөр,41
ассоциация,77
вход,114
жительство,89
шахматам,41
отбор,106
пропаганда,102
смс,66
атлас,55
толстовка,85
кость,101
возбуждение,41
лаванда,65
реальные,41
рубашки,41
‼️новинка‼️,41
диагностика,84
сбер.моб.банк,41
профессор,131
трава,130
