Слово,Количество
идти,3544
сделать,3342
являться,1386
получить,4609
провести,1984
тянуться,1269
стоить,888
стать,877
отличное,521
успейте,525
заходить,719
хотеть,1456
принять,1784
делать,1764
приобрести,1078
найти,913
жить,1296
хотеться,564
работать,1699
желать,1443
помогать,1058
находиться,1127
уважаемые,461
стильные,725
пишите,516
набрать,907
помочь,1480
пройти,2149
становиться,614
поздравлять,956
проходить,819
использовать,703
принимать,1207
ответить,751
происходить,509
позволять,475
подходить,443
знакомься,272
позволить,482
сказать,1418
любить,1246
отмечаться,278
терять,371
состояться,881
сможешь,467
звонить,367
проводиться,440
узнать,768
сарафаны,246
садиться,295
вести,683
иметь,675
забыть,441
получать,828
говорить,1548
продолжать,577
рассказать,922
ждать,1013
заниматься,523
нравиться,335
участвовать,707
побить,215
видеть,907
присоединяйся,284
сообщать,387
давать,633
применить,250
зависеть,283
эластана,208
начинаться,239
дать,952
выбрать,357
создать,758
поцеловать,202
взять,523
состоять,307
плотный,197
обладать,316
обсудить,310
благодарить,395
отметить,780
прийти,960
соревноваться,254
начать,888
присоединяться,259
смочь,567
действовать,556
чувствовать,463
возбудить,206
составлять,275
произойти,344
способствовать,295
нравитсяпоказать,176
увидеть,571
знать,1853
первоначального,173
купить,311
проводить,629
совершить,400
сохранить,263
начинать,626
открыть,1085
выступить,441
стильный,165
обращаться,388
обратиться,544
гидг,175
искать,428
удаться,220
праздничный,160
наградить,331
называть,377
хватать,211
родиться,320
посетить,468
обеспечивать,304
"46,48,50,52,54,56",150
напоминать,329
привести,300
удобный,147
напомнить,243
читать,520
выявить,255
поздравить,422
приходиться,187
поступление‼️,143
смотреть,612
показать,534
отмечать,375
просить,541
погибнуть,438
содержать,296
вашем,179
выглядеть,275
изменить,172
держать,295
связать,655
оставлять,267
посвятить,835
представить,664
посмотреть,494
требовать,247
оформить,257
остаться,824
понять,456
улучшать,169
войти,325
подойти,266
поделиться,385
представлять,426
решить,577
дарить,392
влиять,206
поддерживать,340
оставаться,517
прийтись,270
трёх,121
выйти,434
установить,622
выздороветь,143
приглашать,431
избавиться,119
приводить,172
создавать,447
попасть,339
позвонить,255
радовать,220
считаться,255
управлять,301
входить,258
заняться,155
вызывать,240
начаться,419
оказаться,475
заявить,254
пожелать,247
заказать,115
воспользоваться,152
задержать,264
проявить,225
оказывать,279
поступить,480
появиться,508
подать,189
добиться,160
появляться,236
существовать,340
предварительного,111
играть,503
занимать,158
означать,169
касаться,194
решать,189
называться,180
палаццо,108
рукав,108
продолжаться,187
смотрятся,196
относиться,301
лунный,105
пошить,179
уточнять,136
брать,225
вручить,302
писать,584
двигаться,217
носить,190
привлечь,164
размер,159
написать,517
сообщить,438
модель,101
оставить,388
достигнуть,211
продаваться,115
сидеть,331
думать,841
избежать,110
окружать,399
боишься,98
применяться,161
помнить,593
занять,344
узнавать,219
населить,131
продлиться,96
заслужить,192
подарить,425
включать,135
отдать,203
рекомендоваться,137
справиться,164
защищать,308
зацепить,93
потеряться,93
проверить,233
приходить,333
улучшить,113
записаться,113
поддержать,271
выразить,139
огромную,88
научиться,165
краснеть,88
вспомнить,170
стартовать,285
пытаться,339
требоваться,159
верить,388
подойдёт,97
перевести,208
регулироваться,87
темнеть,87
пользоваться,212
предложить,216
передать,223
приносить,180
предлагать,343
получаться,178
вернуть,111
познакомиться,234
смотреться,140
выбирать,406
назвать,211
стоять,217
заключаться,83
соблюдать,93
учиться,317
соответствовать,297
предстоять,135
ходить,331
оказать,194
придавать,158
доставить,231
попробовать,92
приятный,93
уходить,197
чернеть,81
обеспечить,231
собраться,122
берегите,80
считать,477
поставить,379
направить,522
вельвет,80
собрать,262
приходите,79
выходить,280
исполниться,104
наступать,157
пойти,440
пить,148
лежать,174
замш,77
добавить,231
бороться,187
делиться,290
ожидать,180
поблагодарить,214
вернуться,269
встретить,200
һурвн,75
реализоваться,75
◾цена,75
рассказывать,219
принести,237
постарайтесь,142
слушать,141
владимировна,73
следовать,167
гордиться,206
получиться,290
развивать,142
подчёркивать,138
выделить,118
любите,119
отказаться,138
использоваться,153
принадлежать,104
совершать,156
завоевать,147
восстановить,92
предоставляться,103
отправить,240
придётся,70
понимать,495
выполнять,228
возникать,175
контролировать,88
объединять,89
приятные,92
предусмотреть,208
информировать,82
менять,117
нести,160
встретиться,203
обратить,144
хранить,124
подчеркнуть,227
назадответитьподелиться,67
определить,375
планироваться,66
подготовить,234
увлажнять,100
повышать,121
состязались,66
особенный,66
отчёты,66
говориться,130
хватить,115
